SR NO ,PRODUCT NAME ,QTY,TYPE,REFERENCE LINK,ADDITONAL DETAILS
1,ESP32 Node MCU WiFi Bluetooth Development Module (30 Pin) - CP2102 MICRO,3,Electronics,https://www.flyrobo.in/esp32-node-mcu-wifi-bluetooth-development-module-30-pin?search=ESP32%20Node%20MCU%20WiFi%20Bluetooth%20Development%20Module%20%2830%20Pin%29%20-%20CP2102%20MICRO&description=true,Main controller used to process EMG signals and run the project.
2,EMG Muscle Sensor V3.0 with Cable and Electrodes,5,Electronics,https://robu.in/product/advancer-technologies-emg-muscle-sensor-v3-0-with-cable-and-electrodes/,Detects electrical activity from muscles and converts it into readable signals.
3,Bio Amp Muscle Band,5,Electronics,https://robu.in/product/muscle-bioamp-band-emg-band,Wearable band used to comfortably capture muscle movement signals from the body.
4,WLY104050 3.7V 2500mAh 1S LiPo Battery (Wearable IoT),1,Power,https://www.flyrobo.in/hw-battery-9v-for-arduino-rpi-robotics?search=WLY104050%203.7V%202500mAh%201S%20LiPo%20Battery%20%28Wearable%20IoT%29&description=true,Portable rechargeable battery used to power the wearable device.
5,TP51000 Li-Ion Charging Module with Protection (Type-C),1,Power,https://robu.in/product/tp5100-4-2v-8-4v-single-double-lithium-battery-charge-management-lion-battery-compatible-2a-charging-board,Charges the LiPo battery safely through a Type-C connector with protection features.
6,Perf board double sided,4,Prototyping ,https://robu.in/product/9-x-15-cm-universal-pcb-prototype-board-single-sided-2-54mm-hole-pitch?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWckf5S_9ZmCJo0d1FgRauqu4&gclid=CjwKCAjw46HPBhAMEiwASZpLRCZyR9PdycDSI_RUrPLKvqvdJ0S3h3IiJqBchwA25A7k5jJcY_nGDRoCNwgQAvD_BwE,Used to permanently solder and connect electronic components into a compact circuit.
7,TP4056 1A Li-Ion Charging Board Micro USB with Protection,1,Power ,https://robu.in/product/tp4056-1a-li-ion-battery-charging-board-micro-usb-with-current-protection-type-c-connector,Safely charges single-cell Li-ion/LiPo batteries using a Micro USB input.
8,"20CM Dupont Wire Combo (M-M + M-F + F-F, 40pcs each = 120pcs)",2,Prototyping ,https://robu.in/product/20-cm-40-pin-dupont-male-male-male-female-female-female-cable-combo/,Used for temporary electrical connections between components during prototyping.
9,470 Ohm Resistor 1/4W (pack of 25),1,Electronics,https://www.electropi.in/470-ohm-resistance?gad_source=1&gad_campaignid=23329895947&gclid=Cj0KCQjw_IXQBhCkARIsADqELbLqXZlOjka3-7VmEROtTzStk15UswkNc-WwcjRqB67ailX01Il1wvwaAo1iEALw_wcB,Limits current flow to protect components and stabilize circuits.
10,75 Ohm Resistor 1/4W (pack of 25),1,Electronics,https://www.electropi.in/75-ohm-resistance?gad_source=1&gad_campaignid=23329895947&gclid=Cj0KCQjw_IXQBhCkARIsADqELbJg8oPoPZUZ1dXi90bpQehSmf3Ll8nefmM8F8VCkFkt9VjJfULyfv4aAs8qEALw_wcB,"Used for signal conditioning, impedance matching, or current limiting in circuits."
11,M3 Inserts,1,Mechanical,https://www.flyrobo.in/m2.5-x-5mm-brass-heat-set-threaded-round-insert-nut?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE8udWiYm5sWNseLPA9_G9JnO&gclid=CjwKCAjwidXQBhAZEiwA4egw6GEhvZhZBSaZY9iaW3q9bXy84wHZb1BiPmo9vc1myfh-95pK9R8U4hoCvY8QAvD_BwE,Provide strong threaded mounting points for screws in enclosures or 3D prints.
12,Rca Composite Cable,1,Electronics,https://www.flyrobo.in/3.5mm-male-plug-3-rca-male-audio-video-cable?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gclid=Cj0KCQjw_IXQBhCkARIsADqELbKQkAmhGeZKggEs2ckCEYR7X2ptu3YQd_f2Nne0Kf0NmlvFHmvgLdoaApmkEALw_wcB,Transfers analog video or audio signals between devices.
13,DC Jacks,2,Electronics,https://robu.in/product/audio-jack-pj306-3-5mm-female-connector,Used to connect external DC power supplies to electronic circuits.
14,RCA to HDMI Upscaler,1,Electronics,https://robu.in/product/hdmi-to-av-adapter-hd-1080p-video-converter?gad_source=1&gbraid=0AAAAADvLFWe93phVnl3xBvaeb4rIuXBiU&gclid=CjwKCAjwzLHPBhBTEiwABaLsSgpP5r0DdfG2scWnaYynqnrW5VINEEvTstL8ZafNXI2hlMJG0lLXohoCbnkQAvD_BwE&gad_campaignid=17416544847,Converts analog RCA video signals into digital HDMI output for modern displays.
15,Powerbank ,1,Power,https://amzn.in/d/0iMMmGR9,Provides portable USB power supply for charging or running devices.
